场景名称,节点名称,答案
企业社会保险登记,办理时间,企业社会保险登记的办理时间：工作日时间均可办理。
企业社会保险登记,办理方式,请问您单位注册地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业社会保险登记,所需材料,向社会保险经办机构申请办理企业社会保险登记所需材料：营业执照、批准成立证件或其他核准执业证件、法人代表或负责人身份证。
企业职工基本养老保险关系制度内转移（转入办理）,适用范围,企业职工基本养老保险关系转入的适用范围：企业职工基本养老保险关系转入适用于参加城镇企业职工基本养老保险的所有人员。已经按国家规定领取基本养老保险待遇的人员，不再转移基本养老保险关系。
企业职工基本养老保险关系制度内转移（转入办理）,跨省转移账户转移资金计算方法,"企业职工基本养老保险跨省转移账户转移资金计算方法：参保人员跨省流动就业转移基本养老保险关系时、按下列方法计算转移资金：(一)个人账户储存额：1998年1月1日之前按个人缴费累计本息计算转移、1998年1月1日后按计入个人账户的全部储存额计算转移。(二)统筹基金(单位缴费)：以本人1998年1月1日后各年度实际缴费工资为基数，按12%的总和转移，参保缴费不足1年的，按实际缴费月数计算转移。参保人员跨省流动就业转移统筹基金时，属于临时基本养老保险缴费账户的，单位缴费比例超过12%的，按实际缴费比例计算转移金额；低于12%的、按12%计算转移金额。
"
企业职工基本养老保险关系制度内转移（转入办理）,多重养老保险关系,"职工基本养老保险转移时多重养老保险关系的处理方法：参保人员在两地以上同时存续基本养老保险关系或重复缴纳基本养老保险费的，应按照“先转后清”的原则，由转入地社会保险经办机构负责按规定清理。
"
企业职工基本养老保险关系制度内转移（转入办理）,办理时间,企业职工基本养老保险关系转入的办理时间：工作日时间均可办理。
企业职工基本养老保险关系制度内转移（转入办理）,待遇领取地的确定,基本养老保险待遇领取地的确定：跨省流动就业的参保人员达到待遇领取条件时、按下列规定确定其待遇领取地：(一)基本养老保险关系在户籍所在地的，由户籍所在地负责办理待遇领取手续，享受基本养老保险待遇。(二)基本养老保险关系不在户籍所在地，而在其基本养老保险关系所在地累计缴费年限满10年的，在该地办理待遇领取手续，享受当地基本养老保险待遇。(三)基本养老保险关系不在户籍所在地，且在其基本养老保险关系所在地累计缴费年限不满10年的，将其基本养老保险关系转回上一个缴费年限满10年的原参保地办理待遇领取手续，享受基本养老保险待遇。 (四)基本养老保险关系不在户籍所在地，且在每个参保地的累计缴费年限均不满10年的，将其基本养老保险关系及相应资金归集到户籍所在地，由户籍所在地按规定办理待遇领取手续，享受基本养老保险待遇。
企业职工基本养老保险关系制度内转移（转入办理）,补缴超过36个月转移处理办法,"企业职工基本养老保险费连续补缴超过36个月办理转移手续时的处理方法：1.参保人员跨省转移接续基本养老保险关系时，对在2016年11月28日之前发生的超过3年（含3年）的一次性缴纳养老保险费，转出地社会保险经办机构应当向转入地社会保险经办机构提供书面承诺书。2.参保人员跨省转移接续基本养老保险关系时，对在2016年11月28日后发生的超过3年（含3年）的一次性缴纳养老保险费，由转出地按照人社部发[2016]5号文有关规定向转入地提供相关法律文书。相关法律文书是由人民法院、审计部门、实施劳动监察的行政部门或劳动人事争议仲裁委员会等部门在履行各自法定职责过程中形成且产生于一次性缴纳养老保险费之前，不得通过事后补办的方式开具。
"
企业职工基本养老保险关系制度内转移（转入办理）,办结时限,企业职工基本养老保险关系转入的办结时限为：15个工作日。
企业职工基本养老保险关系制度内转移（转入办理）,办理条件,企业职工基本养老保险关系跨省转入的办理条件：(一)在我省参加企业职工基本养老保险;(二)男性未年满50周岁和女性未年满40周岁;(三)参保人员经县级以上党委组织部门、人力资源社会保障行政部门批准调动，且与调入单位建立劳动关系并缴纳基本养老保险费的，不受以上年龄规定限制。（四）养老保险待遇领取地确定为我省的。
企业职工基本养老保险关系制度内转移（转入办理）,办理方式,请问您要咨询的是江苏省内企业职工基本养老保险转入得办理方式还是跨省企业职工基本养老保险关系转入的办理方式？
企业职工基本养老保险关系制度内转移（转入办理）,江苏省内养老转移,"江苏省内基本养老保险关系转入的办理方式：从2020年7月1日起，省内不需即时办理转移业务，原参保地社保经办机构将其基本养老保险关系和个人账户封存，个人账户按规定计息，待参保人员达到待遇领取条件时，由待遇领取地归集基本养老保险关系。
"
企业职工基本养老保险关系制度内转移（转入办理）,跨省养老转移,"跨省企业职工基本养老保险关系转入的办理方式：从2020年7月1日起，参保人员办理职工基本养老保险关系跨省转移接续业务的，应登陆国家社会保险公共服务平台门户（网站地址：http://si.12333.gov.cn）或“掌上12333”手机APP进行申请。
"
企业职工基本养老保险延长缴费认定,缴费不足15年的处理方法,参加企业职工基本养老保险的个人达到法定退休年龄时累计缴费不足十五年的处理方法：参加职工基本养老保险的个人达到法定退休年龄时，累计缴费不足十五年的，可以延长缴费至满十五年。也可以申请转入户籍所在地城乡居民基本养老保险，享受相应的养老保险待遇。　　参加职工基本养老保险的个人达到法定退休年龄后，累计缴费不足十五年，且未转入城乡居民基本养老保险的，个人可以书面申请终止职工基本养老保险关系。社会保险经办机构收到申请后，书面告知其转入城乡居民基本养老保险的权利以及终止职工基本养老保险关系的后果，经本人书面确认后，终止其职工基本养老保险关系，并将个人账户储存额一次性支付给本人。
企业职工基本养老保险延长缴费认定,延长后一次性缴费的办理流程,请问您要咨询的是企业职工基本养老保险延长缴费后一次性缴费的办理条件、所需材料、办理时间还是申请方式？
企业职工基本养老保险延长缴费认定,延长缴费的办理流程,请问您要咨询的是企业职工基本养老保险延长缴费的办理条件、所需材料、办理时间还是申请方式？
企业职工基本养老保险延长缴费认定,缴费不足15年延缴地的确定,请问您是江苏省户籍还是外省户籍？
企业职工基本养老保险延长缴费认定,我省户籍,"我省户籍参保人员在省内参保期间达到法定退休年龄或领取基本养老保险待遇年龄时累计缴费年限不满15年的延长缴费地确定：（一）基本养老保险关系所在地与户籍地一致的，延长缴费地为户籍地；（二） 基本养老保险关系所在地与户籍地不一致的，且在其他非户籍地缴费均不满10年的，延长缴费地为户籍地；（三）基本养老保险关系所在地与户籍地不一致，但在基本养老保险关系所在地累计缴费年限满10年的，参保人员可自愿选择在累计缴费年限满10年的参保地或户籍地延长缴费。
"
企业职工基本养老保险延长缴费认定,非我省户籍,"非我省户籍参保人员达到法定退休年龄或领取基本养老保险待遇年龄时累计缴费年限不满15年的延缴地确定：非我省户籍参保人员达到法定退休年龄或领取基本养老保险待遇年龄时累计缴费年限不满15年，但在我省某市或某县（市、区）累计缴费年限满10年的，延长缴费地即为累计缴费年限满10年的所在地；在我省各市、县（市、区）缴费年限均未满10年但累计缴费年限满10年的，延长缴费地为在我省最后一个有基本养老保险关系的所在地。
"
企业职工基本养老保险延长缴费认定,申请方式,请问您当前参保地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业职工基本养老保险延长缴费认定,所需材料,企业职工基本养老保险延长缴费所需材料：《江苏省企业职工基本养老保险参保人员延长缴纳养老保险费申请表》、有效身份证件、户口簿/户籍证明。
企业职工基本养老保险延长缴费认定,办理条件,"企业职工基本养老保险延长缴费的办理条件：从2011年7月1日起，凡参加我省企业职工基本养老保险，达到法定退休""企业职工基本养老保险延长缴费的办理条件：从2011年7月1日起，凡参加我省企业职工基本养老保险，达到法定退休年龄时累计缴费年限仍不满15年的人员，经本人书面申请，可以延长缴费至满15年（其中实际缴费年限满5年），再办理按月享受基本养老金的手续；2011年6月30日前已参保缴费、延长缴费5年后仍不足15年的，可以一次性缴费至满15年。"
企业职工基本养老保险延长缴费认定,申请时间,企业职工基本养老保险延长缴费的申请时间为：工作日时间均可申请。
企业职工基本养老保险延长缴费认定,一次性缴费申请方式,请问您当前参保地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业职工基本养老保险延长缴费认定,一次性缴费申请时间,企业职工基本养老保险延长缴费后一次性缴费的申请时间为：工作日时间均可申请。
企业职工基本养老保险延长缴费认定,一次性缴费办理条件,企业职工基本养老保险延长缴费后一次性缴费的办理条件：2011年6月30日前已参保缴费、延长缴费5年后仍不足15年的，可以一次性缴费至满15年。
企业职工基本养老保险延长缴费认定,一次性缴费所需材料,企业职工基本养老保险延长缴费后一次性缴费所需材料：《一次性缴费申请书》。
企业职工基本养老保险延长缴费认定,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer=""省本级企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590931。""
execut:city=无锡 THEN answer=""无锡市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-82411334。""
execut:city=徐州 THEN answer=""徐州市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805702。""
execut:city=常州 THEN answer=""常州市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-86811106。""
execut:city=苏州 THEN answer=""苏州市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820480。""
execut:city=南通 THEN answer=""南通市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59001236。""
execut:city=连云港 THEN answer=""连云港企业职工基本养老保险延长缴费的申请方式1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。连云港地址：连云港市海州区花果山大道19-5号，咨询电话：0518-85685923。""
execut:city=淮安 THEN answer=""淮安市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888317。""
execut:city=盐城 THEN answer=""盐城市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515-80500018。""
execut:city=扬州 THEN answer=""扬州市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼，咨询电话：0514-80978696。""
execut:city=镇江 THEN answer=""镇江市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85340523。""
execut:city=泰州 THEN answer=""泰州市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606544。""
execut:city=宿迁 THEN answer=""宿迁市企业职工基本养老保险延长缴费的申请方式：1、可以通过“江苏人社一体化服务平台”网上办理。2、可在延缴地社会保险经办机构窗口办理。宿迁市地址：宿迁市宿城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359521。""
execut:!city THEN answer=""请问您想询问的是哪个地市的申请方式？"""
企业职工基本养老保险延长缴费认定,1+13对应地市一次性缴费申请,"[answer]
execut:city=省级 THEN answer=""省本级企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，南京市地址：南京市水西门大街61号，咨询电话：025-86590931""
execut:city=无锡 THEN answer=""无锡市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，无锡市地址：无锡市广瑞路2号，咨询电话：0510-82411334。""
execut:city=徐州 THEN answer=""徐州市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805702。""
execut:city=常州 THEN answer=""常州市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-86811106。""
execut:city=苏州 THEN answer=""苏州市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820480。""
execut:city=南通 THEN answer=""南通市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59001236。""
execut:city=连云港 THEN answer=""连云港企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，连云港地址：连云港市海州区花果山大道19-5号，咨询电话：0518-85685923。""
execut:city=淮安 THEN answer=""淮安市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888317。""
execut:city=盐城 THEN answer=""盐城市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，盐城市地址：盐城市世纪大道19号，咨询电话：0515-80500018。""
execut:city=扬州 THEN answer=""扬州市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，扬州市地址：扬州市文昌东路9号市民中心1号楼，咨询电话：0514-80978696。""
execut:city=镇江 THEN answer=""镇江市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，镇江市地址：镇江市运河路100号，咨询电话：0511-85340523。""
execut:city=泰州 THEN answer=""泰州市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606544。""
execut:city=宿迁 THEN answer=""宿迁市企业职工基本养老保险延长缴费后一次性缴费的申请方式：可在延缴地社会保险经办机构窗口办理，宿迁市地址：宿迁市宿城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359521。""
execut:!city THEN answer=""请问您想询问的是哪个地市的申请方式？"""
企业职工基本养老保险待遇审核,办理时间,企业职工基本养老保险待遇审核的办理时间为：除每月7-10日外，工作日时间均可办理。
企业职工基本养老保险待遇审核,办理条件,企业职工基本养老保险待遇审核的办理条件：通过企业职工基本养老保险退休审批的人员。
企业职工基本养老保险待遇审核,办理材料,企业职工基本养老保险待遇审核的办理材料：《企业职工基本养老保险退休审批表》或《企业职工基本养老保险特殊工种提前退休审批表》原件1份。
企业职工基本养老保险待遇审核,办结时限,企业职工基本养老保险待遇审核的办结时限为：60个工作日。
企业职工基本养老保险待遇审核,办理方式,请问您的待遇领取地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业职工基本养老保险待遇审核,发放方式,企业职工基本养老保险待遇的发放方式：通过社会化发放机构代发至参保人员养老金领取银行账户或社保卡。
企业职工基本养老保险待遇审核,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer=""省本级企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271735。""
execut:city=南京 THEN answer=""南京市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590969。""
execut:city=无锡 THEN answer=""无锡市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505。""
execut:city=徐州 THEN answer=""徐州市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805711。""
execut:city=常州 THEN answer=""常州市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88102735。""
execut:city=苏州 THEN answer=""苏州市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820486。""
execut:city=南通 THEN answer=""南通市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59001259。""
execut:city=连云港 THEN answer=""连云港市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。连云港市地址：连云港市海州区花果山大道19-5号，咨询电话：0518-85811595。""
execut:city=淮安 THEN answer=""淮安市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888779。""
execut:city=盐城 THEN answer=""盐城市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515-88315426。""
execut:city=扬州 THEN answer=""扬州市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼，咨询电话：0514-80978685。""
execut:city=镇江 THEN answer=""镇江市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85340078。""
execut:city=泰州 THEN answer=""泰州市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606547。""
execut:city=宿迁 THEN answer=""宿迁市企业职工基本养老保险待遇审核的办理方式：可在待遇领取地社会保险经办机构窗口办理。宿迁市地址：宿迁市宿城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359039。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
企业职工基本养老保险特殊工种提前退休审批,特殊工种提前退休的适用范围,国有（全民所有制）企业、县区属以上城镇集体企业中从事国家规定的特殊工种并达到规定年限的人员。
企业职工基本养老保险特殊工种提前退休审批,个人申报年龄条件,男年满55周岁、女年满45周岁；符合特殊工种提前退休条件的，本人申请。
企业职工基本养老保险特殊工种提前退休审批,单位办理程序,办理特殊工种提前退休的程序：个人申请、单位公示、参保人员或用人单位向人社行政部门申报审查、设区市人社行政部门受理后进行公示、公示期满作出提前退休决定。
企业职工基本养老保险特殊工种提前退休审批,特殊工种提前退休的条件,（一）从事国家规定的特殊工种满足规定年限；（二）达到国家规定提前退休的年龄；（三）在用人单位工作期间，用人单位和本人均按规定足额缴纳基本养老保险费；（四）缴费年限满15年以上。
企业职工基本养老保险特殊工种提前退休审批,单位申报,请问您要问的是办理流程、适用范围、退休条件、从业年限规定、年龄条件、所需材料、办理时限，还是工种范围？
企业职工基本养老保险特殊工种提前退休审批,个人申报,请问您要问的是办理流程、适用范围、退休条件、从业年限规定、年龄条件、所需材料、办理时限，还是工种范围？
企业职工基本养老保险特殊工种提前退休审批,办理特殊工种提前退休所需材料,《特殊工种提前退休申请书》、公示材料、《江苏省企业职工提前退休审批表》和职工身份证复印件、职工个人档案及有关原始资料。
企业职工基本养老保险特殊工种提前退休审批,特殊工种从业年限规定,在国家规定的实施提前退休政策的企业中，从事高空和特别繁重体力劳动工作累计满十年的；从事井下高温工作累计满九年的；从事其他有害身体健康工作累计满八年的。国家有其他特殊规定的，从其规定。
企业职工基本养老保险特殊工种提前退休审批,单位申报年龄条件,男年满55周岁、女年满45周岁；符合特殊工种提前退休条件的，经本人与企业协商一致，可选择在本人提前退休年龄和法定退休年龄之间办理提前退休手续。
企业职工基本养老保险特殊工种提前退休审批,提前退休所适用的特殊工种范围,国家明确的特殊工种名录内相关行业的工种。
企业职工基本养老保险特殊工种提前退休审批,办理特殊工种提前退休的时限,1、审批机关受理后对不符合条件的在10个工作日内反馈不予受理的意见；2、审批机关受理后对符合条件的进行公示，公示期7天；公示期满后10个工作日内做出审批决定。
企业职工基本养老保险特殊工种提前退休审批,个人办理程序,办理特殊工种提前退休的程序：个人申请、街道公示、社会保障行政部门审查、社会保障行政部门作出退休审批决定前公示、作出退休决定。
企业职工社会保险缴费基数申报,缴费基数的具体项目,计算企业职工社会保险缴费基数的具体项目：（一）计时工资；（二）计件工资；（三）奖金；（四）津贴；（五）补贴；（六）加班加点工资；（七）其他工资；（八）特殊项目构成的工资。
企业职工社会保险缴费基数申报,缴费工资的构成,新参保职工社会保险缴费工资的构成：新招职工（包括研究生、大中专毕业生等）、失业后再就业职工，以起薪当月的整月工资收入作为缴费工资；下一次申报缴费工资时，再以上一期职工实得工资为基数。
企业职工社会保险缴费基数申报,缴费工资申报办理时限,企业职工社会保险缴费工资申报办理时限：目前参保单位在每年六月底前依据职工上年度工资总额的月平均工资申报社会保险缴费工资，每年度申报一次。在一个缴费年度内初次申报后，其余月份可以只申报变动情况；无变动的，可以不申报。
企业职工社会保险缴费基数申报,缴费工资申报所需材料,企业职工社会保险缴费工资申报所需材料：《江苏省社会保险缴费工资申报汇总表》。
企业职工社会保险缴费基数申报,办理人员,企业职工社会保险缴费工资申报办理人员：单位社保经办人员。
企业职工社会保险缴费基数申报,未按规定申报缴费工资处理方法,"参保单位未按规定申报缴费工资处理方法：单位未按规定申报应缴纳的社会保险费数额的，社会保险经办机构暂按该单位上月缴费数额的110%确定应缴数额；没有上月缴费数额的，社会保险经办机构暂按该单位的经营状况、职工人数、当地上年度职工平均工资等有关情况确定应缴数额。用人单位补办申报手续后，由社会保险经办机构按照规定结算。
"
企业职工社会保险缴费基数申报,办理方式,请问您的单位属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业职工社会保险缴费基数申报,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer=""省本级企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590931。""
execut:city=无锡 THEN answer=""无锡市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-82411334。""
execut:city=徐州 THEN answer=""徐州市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805702。""
execut:city=常州 THEN answer=""常州市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-86811106。""
execut:city=苏州 THEN answer=""苏州市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820480。""
execut:city=南通 THEN answer=""南通市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59001236。""
execut:city=连云港 THEN answer=""连云港企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。连云港地址：连云港市海州区花果山大道19-5号，咨询电话：0518-85685923。""
execut:city=淮安 THEN answer=""淮安市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888317。""
execut:city=盐城 THEN answer=""盐城市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515-80500018。""
execut:city=扬州 THEN answer=""扬州市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼，咨询电话：0514-80978696。""
execut:city=镇江 THEN answer=""镇江市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85340523。""
execut:city=泰州 THEN answer=""泰州市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606544。""
execut:city=宿迁 THEN answer=""宿迁市企业职工社会保险缴费工资申报办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。宿迁市地址：宿迁市宿城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359521。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
企业退休人员纳入社会化管理,办理对象,企业退休人员纳入社会化管理的办理对象：已经正常办理退休手续，但尚未按规定纳入社会化管理的企业退休人员。
企业退休人员纳入社会化管理,办理流程,企业退休人员纳入社会化管理的办理流程：退休人员纳入属地实行社会化管理服务，档案移交给政府指定的部门进行管理。
企业退休人员纳入社会化管理,社会化管理机构、地址及咨询电话,请问您要咨询的是南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
企业退休人员纳入社会化管理,所需材料,企业退休人员纳入社会化管理所需材料：按各市规定提供。
